time,rst,count
12000,1,0000
22000,0,0001
32000,0,0011
42000,0,0101
52000,0,0111
62000,0,1001
72000,0,1001
82000,0,1001
92000,0,1001
102000,0,1001
112000,0,1001
122000,0,1001
132000,0,1001
142000,0,1001
